country_name,channel_title,videos,views
Germany,Julienco,17,612688.9411764706
France,Franjo,17,402015.29411764705
Germany,Pamela Reif,17,841079.1764705882
Brazil,BAROLO VÍDEOS,17,286454.76470588235
Japan,デーブ大久保チャンネル,17,376858.0
UK,Dixie D'Amelio,17,7431294.411764706
France,SpaceX,17,2476057.6470588236
Germany,Daniel Abt,17,218682.82352941178
USA,Big Hit Labels,17,36202918.294117644
France,Studio Danielle,17,341385.0
USA,Apex Legends,17,3566009.705882353
France,Motion Station,17,493412.4117647059
Mexico,Yuya,17,511881.8823529412
France,FabienOlicard,17,364599.1176470588
France,GQ France,17,257387.5294117647
UK,Motion Station,17,500299.17647058825
Russia,Manchester United,17,1956000.1764705882
Mexico,DANIEL EL TRAVIESO VIDEOS,17,1360446.294117647
Mexico,Queen Buenrostro,17,1333273.1764705882
Japan,読売ジャイアンツ,17,750908.8823529412
France,Le Jimmy Labeeu,17,746468.7647058824
Brazil,rezendeevil,17,1766408.8823529412
Germany,LaLiga Santander,17,1671815.5294117648
Mexico,CNN en Español,17,598936.3529411765
Germany,Matthias Malmedie,17,329104.23529411765
Canada,Dixie D'Amelio,17,7445075.705882353
Mexico,Gobierno de México,17,81976.70588235294
UK,Tottenham Hotspur,17,874343.3529411765
Mexico,COLORIDAS,17,1941319.0588235294
Japan,しばなんチャンネル,17,1269321.705882353
Germany,lenimariee,17,110200.23529411765
UK,Liverpool FC,17,1007381.5294117647
Canada,JYP Entertainment,17,16389128.352941176
S Korea,SBS STORY,17,1172120.9411764706
UK,Saffron Barker,17,554018.4705882353
France,RED Défis,17,154926.41176470587
France,Captain Popcorn,17,74923.29411764706
