country_name,channel_title,videos,views
India,The Wire,59,158849.42372881356
Germany,Jay & Arya,59,323727.6101694915
France,Regenere / Thierry Casasnovas,59,12035.796610169491
Mexico,UNIVERSO,59,35649.76271186441
Germany,İstanbullu Gelin,59,999550.593220339
Canada,Team Edge,59,994637.4576271187
Germany,Linus Tech Tips,59,879595.3728813559
Mexico,Cine Hd,59,40636.69491525424
S Korea,짤툰,59,1511190.6779661018
Canada,SPORTSNET,59,165042.2372881356
S Korea,[Dorothy]도로시,58,235244.62068965516
France,Wass Freestyle,58,381757.9310344828
Canada,Troom Troom FR,58,306411.5172413793
Mexico,Noticieros Televisa,58,155818.93103448275
USA,CNN,58,765031.724137931
Japan,ブチかまし,58,54802.5
France,Acunn.com,58,447958.5517241379
Germany,Nadine Breitenstein,58,8483.913793103447
S Korea,조회수 3.186.283회,57,112391.87719298246
Germany,HDMONA NEBARIT,57,102011.80701754386
Germany,MSNBC,57,279504.05263157893
France,dmc دراما,57,652967.3333333334
Germany,Rote Rosen Official,57,8700.052631578947
France,Michou,57,2568385.807017544
UK,The Tonight Show Starring Jimmy Fallon,57,2350704.5614035088
Canada,The National,57,28315.21052631579
India,First Show,57,190577.0350877193
India,The Screen Patti,57,1064848.5263157894
Germany,Freshtorge,57,481314.2105263158
Canada,5-Minute Crafts,56,2938684.3214285714
India,TeluguOne,56,196900.67857142858
UK,TheEllenShow,56,1543847.5357142857
France,Jojol,56,318200.3035714286
France,France tv sport,56,158410.2142857143
India,ARY Digital,56,2182427.2321428573
France,francetv slash,56,92494.08928571429
Mexico,Jose Lapiz,56,27607.660714285714
Germany,Jimmy Kimmel Live,56,1471471.5535714286
Mexico,Cocinando con Angel,56,9885.285714285714
USA,Vox,56,984932.5714285715
India,Vikram Aditya,56,181991.26785714287
Germany,FBE,56,1261655.4642857143
Germany,TheEllenShow,56,1617920.732142857
S Korea,보물섬,56,545888.6607142857
Germany,KuchenTV,56,186882.69642857142
S Korea,M2,56,960646.3571428572
India,VisionTimeTamil,56,95158.67857142857
India,cricket.com.au,56,8217111.857142857
Mexico,Mix Bandas,55,36720.25454545455
Brazil,Free Fire - Brasil,55,2466773.690909091
France,lephoceen,55,28036.254545454547
Canada,Bon Appétit,55,449823.34545454546
Canada,WatchMojo.com,55,295013.94545454544
India,Sony Music India,55,7372837.2
S Korea,뉴스 당장,55,65318.29090909091
Canada,Wendy Williams,55,330025.6909090909
Germany,FORMULA 1,55,1879659.490909091
Mexico,CanalOficial Mhonividente,55,35172.67272727273
S Korea,옴니버스,55,432670.41818181815
S Korea,1등 미디어,55,268922.2181818182
France,Top Mercato,55,200379.2
Germany,Köln 50667 - Clips,54,102032.98148148147
Canada,NFL,54,2666429.611111111
India,Gemini TV,54,248096.96296296295
Germany,Kanal D Romania,54,31561.88888888889
Germany,Liebscher & Bracht | Die Schmerzspezialisten,54,45524.01851851852
Canada,Kitchen Nightmares,54,839922.6481481482
UK,Saturday Night Live,54,3204921.203703704
Mexico,REACT,54,419009.6296296296
Mexico,FBE,54,712394.0925925926
Canada,CrazyRussianHacker,54,720866.2777777778
Mexico,Stereo Avances,54,94087.51851851853
Germany,Bodyformus,54,380023.5925925926
France,congofrance,54,21395.277777777777
Mexico,Gomez PR,54,27344.14814814815
Mexico,Noticias Telemundo,54,311461.462962963
India,FactTechz,54,1704164.462962963
Germany,Joko & Klaas,54,299574.05555555556
France,Aliotop,54,209862.9814814815
Germany,DAZN Länderspiele,53,523839.71698113205
Germany,Johnny Hand,53,115790.45283018867
France,RT France,53,14744.037735849057
S Korea,SMTOWN,53,9230232.735849056
